Namirnica (100 g);Energija kJ;Energija kcal;Tip namirnice
Mlijeko;167;40;Ugljikohidrati
Jogurt;360;40;Ugljikohidrati
Kiselo vrhnje;800;192;Masti
Puding;560;134;Ugljikohidrati
Sirni namaz;480;115;Bjelančevine
Topljeni sir;1275;385;Masti
Tvrdi sir;1555;372;Masti
Svježi kravlji sir;101;72;Bjelančevine
Zrnati sir;396;92;Bjelančevine
Janjetina;875;211;Bjelančevine
Jetra;575;137;Bjelančevine
Kunić;550;132;Bjelančevine
Mljeveno, miješano meso;1060;253;Bjelančevine
Piletina;600;144;Bjelančevine
Puretina;970;231;Bjelančevine
Slanina;2530;605;Masti
Srnetina;515;123;Bjelančevine
Svinjetina;1445;345;Bjelančevine
Šunka dimljena i pršut;1653;385;Bjelančevine
Šunka (kuhana);1145;274;Bjelančevine
Šunka pureća/pileća;525;128;Bjelančevine
Teletina;390;105;Bjelančevine
Bakalar;295;76;Bjelančevine
Dagnja;270;66;Bjelančevine
Grgeč;295;75;Bjelančevine
Haringa;650;155;Bjelančevine
Inćun;310;89;Bjelančevine
Jastog;305;86;Bjelančevine
Lignja;295;77;Bjelančevine
Losos;910;217;Bjelančevine
Pastrva;470;112;Bjelančevine
Sardine;1005;240;Bjelančevine
Skuša;820;195;Bjelančevine
Šaran;270;65;Bjelančevine
Škampi;310;91;Bjelančevine
Štuka;305;85;Bjelančevine
Tuna;1270;303;Bjelančevine
Crni kruh;1046;250;Ugljikohidrati
Dvopek;1590;397;Ugljikohidrati
Griz;1550;370;Ugljikohidrati
Kolači od samog tijesta;1315;314;Ugljikohidrati
Kokice;1580;376;Ugljikohidrati
Kruh sa cijelim zrnima;1004;240;Ugljikohidrati
Kukuruzni kruh;915;220;Ugljikohidrati
Kukuruzne pahuljice;1625;388;Ugljikohidrati
Musli;1550;371;Ugljikohidrati
Polubijeli kruh;1055;252;Ugljikohidrati
Riža ljuštena;1540;368;Ugljikohidrati
Riža neljuštena;1550;371;Ugljikohidrati
Soja u zrnu;1785;427;Bjelančevine
Sojin sir (tofu);285;72;Bjelančevine
Tjestenina sa jajima;1630;390;Ugljikohidrati
Zobene pahuljice;1680;402;Ugljikohidrati
Čips od krumpira;2375;568;Ugljikohidrati
Krumpir;355;85;Ugljikohidrati
Njoki;490;117;Ugljikohidrati
Pomfrit;1130;270;Ugljikohidrati
Ananas;230;56;Ugljikohidrati
Banane;410;99;Ugljikohidrati
Borovnice;260;62;Ugljikohidrati
Breskve;192;46;Ugljikohidrati
Dinje;100;24;Ugljikohidrati
Grožđe;295;70;Ugljikohidrati
Grejp;180;42;Ugljikohidrati
Jabuka;218;52;Ugljikohidrati
Jagode;150;36;Ugljikohidrati
Kivi;230;55;Ugljikohidrati
Kruške;230;55;Ugljikohidrati
Lubenica;100;24;Ugljikohidrati
Maline;170;40;Ugljikohidrati
Mandarine;200;48;Ugljikohidrati
Marelice;230;54;Ugljikohidrati
Naranče;226;54;Ugljikohidrati
Ribizl (crveni);190;45;Ugljikohidrati
Ribizl (crni);260;63;Ugljikohidrati
Šljive;245;58;Ugljikohidrati
Trešnje;240;57;Ugljikohidrati
Artičoke;90;23;Ugljikohidrati
Brokula;140;33;Ugljikohidrati
Cikla;150;37;Ugljikohidrati
Cvjetača;117;28;Ugljikohidrati
Celer;159;38;Ugljikohidrati
Grah;480;110;Ugljikohidrati
Grašak;389;93;Ugljikohidrati
Kelj;190;46;Ugljikohidrati
Krastavci;42;10;Ugljikohidrati
Kupus (kiseli);109;26;Ugljikohidrati
Kupus (slatki);218;52;Ugljikohidrati
Luk;175;42;Ugljikohidrati
Mrkva;146;35;Ugljikohidrati
Paprika;117;28;Ugljikohidrati
Patlidžan;110;26;Ugljikohidrati
Poriluk;160;38;Ugljikohidrati
Rajčica;80;19;Ugljikohidrati
Šampinjoni;101;24;Bjelančevine
Šparoga;80;20;Ugljikohidrati
Špinat;96;23;Bjelančevine
Zelena salata;59;14;Ugljikohidrati
Zelje;100;25;Ugljikohidrati
Maslac;3190;755;Masti
Margarin;3040;720;Masti
Majoneza;3200;761;Masti
Majoneza light;1440;341;Masti
Svinjska mast;3800;900;Masti
Biljna mast;3150;753;Masti
Tartar umak;1975;480;Masti
Ulje maslinovo;3800;900;Masti
Ulje repino;3800;900;Masti
Ulje od suncokreta;3885;928;Masti
Ulje od kukuruznih klica;3891;930;Masti
Cijelo jaje;700;167;Bjelančevine
Biskvit masni;1945;462;Ugljikohidrati
Bomboni tvrdi obični;1630;390;Ugljikohidrati
Bomboni voćni;1220;292;Ugljikohidrati
Čokolada mliječna;2355;563;Ugljikohidrati
Čokolada za kuhanje;2355;564;Ugljikohidrati
Čokoladni bomboni;1985;490;Ugljikohidrati
Čokoladni namaz - nutella;2220;534;Ugljikohidrati
Guma za žvakanje;1170;280;Ugljikohidrati
Gumeni bomboni;1450;345;Ugljikohidrati
Keks sa čokoladnim preljevom;2200;530;Ugljikohidrati
Marmelada;1090;261;Ugljikohidrati
Med;1275;303;Ugljikohidrati
Napolitanke;2305;550;Ugljikohidrati
Piškoti;1635;393;Ugljikohidrati
Plazma keks;1810;440;Ugljikohidrati
Puding u prahu;1600;380;Ugljikohidrati
